2008,1,3,50000,Daily_ret,STD_daily_ret,Total Return,average Daily_ret,Sharpe
2008,5,28,49957,-0.000140101,,,,
2008,5,29,49957,0,,,,
2008,5,30,49957,0,,,,
2008,6,2,49957,0,,,,
2008,6,3,49957,0,,,,
2008,6,4,49957,0,,,,
2008,6,5,49957,0,,,,
2008,6,6,49916,-0.000820706,,,,
2008,6,9,49870,-0.000921548,,,,
2008,6,10,49882,0.000240626,,,,
2008,6,11,49812,-0.001403312,,,,
2008,6,12,49827,0.000301132,,,,
2008,6,13,49827,0,,,,
2008,6,16,49827,0,,,,
2008,6,17,49827,0,,,,
2008,6,18,49827,0,,,,
2008,6,19,49872,0.000903125,,,,
2008,6,20,49906,0.000681745,,,,
2008,6,23,49900,-0.000120226,,,,
2008,6,24,49911,0.000220441,,,,
2008,6,25,49924,0.000260464,,,,
2008,6,26,49924,0,,,,
2008,6,27,49924,0,,,,
2008,6,30,49924,0,,,,
2008,7,1,49942,0.000360548,,,,
2008,7,2,49847,-0.001902207,,,,
2008,7,3,49837,-0.000200614,,,,
2008,7,7,49780,-0.001143729,,,,
2008,7,8,50031,0.005042186,,,,
2008,7,9,49873,-0.003158042,,,,
2008,7,10,49778,-0.001904838,,,,
2008,7,11,49553,-0.004520069,,,,
2008,7,14,49216,-0.006800799,,,,
2008,7,15,49151,-0.001320709,,,,
2008,7,16,49718,0.011535879,,,,
2008,7,17,49873,0.003117583,,,,
2008,7,18,49923,0.001002546,,,,
2008,7,21,49923,0,,,,
2008,7,22,49923,0,,,,
2008,7,23,49923,0,,,,
2008,7,24,49923,0,,,,
2008,7,25,49908,-0.000300463,,,,
2008,7,28,49760,-0.002965456,,,,
2008,7,29,50055,0.005928457,,,,
2008,7,30,50062,0.000139846,,,,
2008,7,31,50038,-0.000479406,,,,
2008,8,1,50049,0.000219833,,,,
2008,8,4,50049,0,,,,
2008,8,5,50116,0.001338688,,,,
2008,8,6,50184,0.001356852,,,,
2008,8,7,50153,-0.000617727,,,,
2008,8,8,50164,0.000219329,,,,
2008,8,11,50158,-0.000119608,,,,
2008,8,12,50073,-0.001694645,,,,
2008,8,13,50007,-0.001318076,,,,
2008,8,14,50056,0.000979863,,,,
2008,8,15,50056,0,,,,
2008,8,18,50056,0,,,,
2008,8,19,50056,0,,,,
2008,8,20,50056,0,,,,
2008,8,21,50056,0,,,,
2008,8,22,50056,0,,,,
2008,8,25,50056,0,,,,
2008,8,26,50056,0,,,,
2008,8,27,50056,0,,,,
2008,8,28,50056,0,,,,
2008,8,29,50056,0,,,,
2008,9,2,50056,0,,,,
2008,9,3,50056,0,,,,
2008,9,4,50056,0,,,,
2008,9,5,50038,-0.000359597,,,,
2008,9,8,50066,0.000559575,,,,
2008,9,9,50033,-0.00065913,,,,
2008,9,10,50037,7.99472E-05,,,,
2008,9,11,50017,-0.000399704,,,,
2008,9,12,50017,0,,,,
2008,9,15,50017,0,,,,
2008,9,16,48353,-0.033268689,,,,
2008,9,17,45545,-0.058072922,,,,
2008,9,18,46640,0.024042156,,,,
2008,9,19,49234,0.055617496,,,,
2008,9,22,50371,0.023093797,,,,
2008,9,23,50320,-0.001012487,,,,
2008,9,24,50168,-0.003020668,,,,
2008,9,25,50161,-0.000139531,,,,
2008,9,26,50170,0.000179422,,,,
2008,9,29,49687,-0.009627267,,,,
2008,9,30,50880,0.024010305,,,,
2008,10,1,51340,0.009040881,,,,
2008,10,2,51409,0.001343981,,,,
2008,10,3,51471,0.001206015,,,,
2008,10,6,50605,-0.016825008,,,,
2008,10,7,50131,-0.009366663,,,,
2008,10,8,49709,-0.008417945,,,,
2008,10,9,47370,-0.047053853,,,,
2008,10,10,47964,0.012539582,,,,
2008,10,13,51318,0.069927446,,,,
2008,10,14,53304,0.038699871,,,,
2008,10,15,50802,-0.046938316,,,,
2008,10,16,52238,0.028266604,,,,
2008,10,17,52305,0.001282591,,,,
2008,10,20,53189,0.01690087,,,,
2008,10,21,52839,-0.006580308,,,,
2008,10,22,51937,-0.017070724,,,,
2008,10,23,51615,-0.006199819,,,,
2008,10,24,50770,-0.01637121,,,,
2008,10,27,50361,-0.008055939,,,,
2008,10,28,53275,0.057862235,,,,
2008,10,29,53719,0.008334115,,,,
2008,10,30,54038,0.005938309,,,,
2008,10,31,54318,0.005181539,,,,
2008,11,3,54838,0.009573254,,,,
2008,11,4,55590,0.013713119,,,,
2008,11,5,54803,-0.014157223,,,,
2008,11,6,53374,-0.026075215,,,,
2008,11,7,53999,0.011709821,,,,
2008,11,10,53377,-0.011518732,,,,
2008,11,11,52728,-0.012158795,,,,
2008,11,12,50793,-0.03669777,,,,
2008,11,13,52342,0.030496328,,,,
2008,11,14,51716,-0.011959803,,,,
2008,11,17,49894,-0.035230876,,,,
2008,11,18,49716,-0.003567563,,,,
2008,11,19,45288,-0.089065894,,,,
2008,11,20,43304,-0.043808514,,,,
2008,11,21,44773,0.033922963,,,,
2008,11,24,47663,0.06454783,,,,
2008,11,25,48232,0.011937981,,,,
2008,11,26,49567,0.02767872,,,,
2008,11,28,49719,0.003066556,,,,
2008,12,1,49675,-0.000884974,,,,
2008,12,2,50214,0.010850528,,,,
2008,12,3,50636,0.008404031,,,,
2008,12,4,50309,-0.006457856,,,,
2008,12,5,50666,0.007096146,,,,
2008,12,8,50943,0.005467177,,,,
2008,12,9,50927,-0.000314077,,,,
2008,12,10,51057,0.002552673,,,,
2008,12,11,50877,-0.003525472,,,,
2008,12,12,50867,-0.000196552,,,,
2008,12,15,50714,-0.003007844,,,,
2008,12,16,51487,0.015242339,,,,
2008,12,17,51377,-0.002136462,,,,
2008,12,18,51355,-0.000428207,,,,
2008,12,19,51328,-0.000525752,,,,
2008,12,22,50949,-0.007383884,,,,
2008,12,23,50809,-0.002747846,,,,
2008,12,24,50816,0.000137771,,,,
2008,12,26,50848,0.000629723,,,,
2008,12,29,50886,0.000747325,,,,
2008,12,30,51086,0.003930354,,,,
2008,12,31,51130,0.000861293,,,,
2009,1,2,51130,0,,,,
2009,1,5,51130,0,,,,
2009,1,6,51177,0.000919226,,,,
2009,1,7,51163,-0.00027356,,,,
2009,1,8,51206,0.000840451,,,,
2009,1,9,51170,-0.000703043,,,,
2009,1,12,50893,-0.005413328,,,,
2009,1,13,50836,-0.001119997,,,,
2009,1,14,50274,-0.011055158,,,,
2009,1,15,50289,0.000298365,,,,
2009,1,16,50514,0.004474139,,,,
2009,1,20,49558,-0.018925446,,,,
2009,1,21,50286,0.014689858,,,,
2009,1,22,49912,-0.007437458,,,,
2009,1,23,50205,0.005870332,,,,
2009,1,26,50263,0.001155263,,,,
2009,1,27,50288,0.000497384,,,,
2009,1,28,50609,0.006383233,,,,
2009,1,29,50512,-0.001916655,,,,
2009,1,30,50161,-0.006948844,,,,
2009,2,2,49927,-0.004664979,,,,
2009,2,3,50073,0.002924269,,,,
2009,2,4,49922,-0.003015597,,,,
2009,2,5,50059,0.002744281,,,,
2009,2,6,50482,0.008450029,,,,
2009,2,9,50486,7.92362E-05,,,,
2009,2,10,49912,-0.011369489,,,,
2009,2,11,50276,0.007292835,,,,
2009,2,12,50155,-0.002406715,,,,
2009,2,13,49948,-0.004127206,,,,
2009,2,17,49222,-0.014535117,,,,
2009,2,18,49219,-6.09484E-05,,,,
2009,2,19,49065,-0.003128873,,,,
2009,2,20,49012,-0.0010802,,,,
2009,2,23,48344,-0.013629315,,,,
2009,2,24,50123,0.036798775,,,,
2009,2,25,50072,-0.001017497,,,,
2009,2,26,50503,0.008607605,,,,
2009,2,27,49836,-0.013207136,,,,
2009,3,2,49021,-0.01635364,,,,
2009,3,3,48615,-0.008282165,,,,
2009,3,4,49001,0.007939936,,,,
2009,3,5,47768,-0.025162752,,,,
2009,3,6,47547,-0.004626528,,,,
2009,3,9,47991,0.009338129,,,,
2009,3,10,50477,0.051801379,,,,
2009,3,11,51054,0.011430949,,,,
2009,3,12,52757,0.033356838,,,,
2009,3,13,52880,0.002331444,,,,
2009,3,16,52827,-0.001002269,,,,
2009,3,17,52934,0.002025479,,,,
2009,3,18,53080,0.002758152,,,,
2009,3,19,52986,-0.001770912,,,,
2009,3,20,52887,-0.001868418,,,,
2009,3,23,53759,0.016487984,,,,
2009,3,24,53517,-0.004501572,,,,
2009,3,25,53563,0.00085954,,,,
2009,3,26,53841,0.00519015,,,,
2009,3,27,53714,-0.002358797,,,,
2009,3,30,53536,-0.003313847,,,,
2009,3,31,53557,0.000392259,,,,
2009,4,1,53753,0.003659652,,,,
2009,4,2,54163,0.007627481,,,,
2009,4,3,54892,0.013459373,,,,
2009,4,6,54722,-0.00309699,,,,
